  ,REVIEW SENTID,REVIEW SENT,REVIEW AUID,RESPONSE SENTID,RESPONSE SENT,RESPONSE AUID
3287424,50000000,Beautiful views and convenient location ---SEP--- Our family of 4 had a lovely one-night stay.,80000001,80000000,"Dear ClaireJourneys, Thank you for taking the time to review your stay at Balgownie Estate.",
3287424,50000001,We stayed in a 2BR unit which had stunning views of the valley.,,80000001,It is great to see that you were able to enjoy a family getaway with us at the Estate.,
3287424,50000002,It was quite spacious and comfortable.,,80000002,We are working towards renovating all our rooms at the Estate to keep them fresh and appealing for all guests during their stay.,
3287424,50000003,I will add that the décor seemed a bit worn.,80000002,80000003,I have also passed your kind words on to our Rae's Restaurant after you enjoyed your meal with us.,
3287424,50000004,We had a very pleasant check-in and were impressed by the woman at reception who was managing two surly guests with grace while we waited.,,80000004,We hope to welcome you and your family back for another visit soon.,
3287424,50000005,The complaints we heard were ridiculous and she was so composed.,,80000005,Kind Regards Charlotte,
3287424,50000006,She checked us in quickly and in a friendly manner.,,,,
3287424,50000007,We enjoyed a the walking trail around the property and our teen girls liked the giant chess game on the lawn.,,,,
3287424,50000008,"We had dinner at Rae's, which was delicious and allowed for an incredible view as well.",80000003,,,
3287424,50000009,The estate is well located near wineries and the chocolatier and was a easy drive to our early balloon flight.,,,,
,,,,,,
3173251,50000010,Very good hotel ---SEP--- Stayed here for work for one night.,,80000010,Hello KatMcP,
3173251,50000011,"Staff were extremely friendly, greeting me as I got out of the lift (reception is on 1st floor) and asking lots of genuine questions about why I was there and how they could help.",,80000011,"Firstly, great to hear your room was super clean, ill let the housekeeping team and Klaudia know( they probably read this as they all do) Some of our rooms are a bit of a weird shape its true, this is due to the nature of the building and as such we have tried to make the most of natural light and the space itself.",
3173251,50000012,"Room was possibly the cleanest I have ever stayed in, but didn't' appear to have a window until I found it hidden behind a wardrobe in the small alcove at the back right of the room.",80000011,80000012,We are a square building,
3173251,50000013,Even then it only overlooked a small light well about 12 foot wide but which was so tall I couldn't actually see sky/the weather at the top!,80000011,80000013,"so yes, some rooms look onto others, these internal rooms are the favourites of the ""in the know"" guests who like a deep sleep as they are silent.",
3173251,50000014,"Weirder still you look straight into other rooms which made me close the curtains to my room despite it only being mid afternoon, so there was essentially no window in the room.",80000013; 80000014,80000014,You can always draw the net curtain for privacy while still allowing for natural light.,
3173251,50000015,"This is my only criticism, and a fairly minor one at that.",,80000015,Sounds like everything else was peachy though.,
3173251,50000016,Decor is quirky but functional and the free breakfast is plentiful and tasty.,,80000016,God times.,
3173251,50000017,"Location is excellent, just a few minutes from both main train stations and a few steps from the shopping and most main areas.",,80000017,My best Rory,
3173251,50000018,I had a good nights sleep and really appreciated the USB socket next to the.bed for phone chargers!,,,,
,,,,,,
3190331,50000020,Fabulous****** ---SEP---,,80000020,Hi Jo Great to hear your stay,
3190331,50000021,What an excellent experience.,80000021,80000021,"we us was a great experience, that lets us know we are going in wright direction.",
3190331,50000022,"Really comfortable clean rooms, very affordable, great location, very friendly staff.",,80000022,Cleanliness and making our guest as comfortable as possible is what we love to here Thank you Jenny and Tony,
3190331,50000023,Its a credit to Tony and Jenny (Owners) they could not do enough for us.,80000022,,,
3190331,50000024,"Great idea supplying crockery and cutlery in the rooms, I spoke to the staff that we only needed towels and not to clean the room, came back and the room was spick and span, I would highly recommend this Motor Inn to anyone Well Done!!!!",80000022,,,
,,,,,,
3161232,50000030,Comfortable Three night stay ---SEP---,,80000030,"WOW, sounds like we ticked all the boxes!",
3161232,50000031,"While the hotel could do with some modernising and re-furnishing, the service and customer management is excellent.",,80000031,"We are glad you had a fabulous time, and look forward to hosting you again soon.",
3161232,50000032,At check in it was noticed that we weren't on the same floor as our friends and this was resolved with ease and no request from ourselves.,,,,
3161232,50000033,The same service and efficient/ effective management was provided when we had an issue with our room and a new room was promptly provided.,,,,
3161232,50000034,"Great location, great staff & access to everyday amenities.",,,,
3161232,50000035,Worth getting a pool access room!,,,,
3161232,50000036,Nice views of marina and excellent value.,,,,
,,,,,,
3271710,50000040,Fabulous location ---SEP---,,80000040,Thank you for taking time to provide feedback on your recent stay.,
3271710,50000041,I really enjoyed this hotel.,,80000041,"It is pleasing to hear that you really enjoyed your stay with us, along with our unbeatable location with Narrabeen Beach on one side and Narrabeen Lake on the other.",
3271710,50000042,It was a surprising find at the end of a very busy and long day.,,80000042,"Furthermore, it is great to hear you had a great nights sleep in our comfortable beds, and found our team to be friendly and helpful.",
3271710,50000043,"Great surrounds - lake on one side, a beach on the other, with friendly and helpful staff.",80000041; 80000042,80000043,We look forward to the opportunity of welcoming you back again in the future.,
3271710,50000044,The bed was so comfortable too!,80000042,80000044,"Kind regards, Anita Reskov Front Office & Reservations Manager Quality Hotel Sands",
,,,,,,
3319214,50000050,Poor service ---SEP---,,80000050,Dear JaneyJane I am sorry to hear that we did not get the service right during your stay and I will discuss your feedback with the team.,
3319214,50000051,A contemporary hotel with great rooms which was unfortunately let down by very slow service both at dinner and breakfast on the two nights we stayed.,80000050,80000051,We want to considered great in everything we do.,
3319214,50000052,We had to request toast 3 times one morning and when it eventually came it was without butter!,80000050,80000052,Best wishes Lynn,
3319214,50000053,They appeared to not want to serve more than 1 glass of fruit juice per person either.,,,,
3319214,50000054,On Saturday evening it was busy so we expected a wait,,,,
3319214,50000055,"but it was about an hour each between the starter, main and dessert and even then they forgot the extras we had ordered.",80000050,,,
3319214,50000056,Sunday night was much quieter but alas we still had the same problems.,,,,
3319214,50000057,The food when it eventually came was very good.,,,,
3319214,50000058,We ordered cocktails but they had run out of cocktail glasses in which to serve them in.,,,,
3319214,50000059,Not quite the same having a cosmopolitan served in a brandy glass!,,,,
3319214,50000060,The staff appeared to lack training on what constitutes good customer service.,80000050,,,
3319214,50000061,"Housekeeping brilliant, as was reception.",,,,
3319214,50000062,The hotel has the potential to be a great hotel but just needs to address the restaurant problems and get the basics,80000050,,,
3319214,50000063,right,,,,
,,,,,,
