DOCID	REVIEW SENTID	REVIEW SENT	REVIEW AUID	RESPONSE SENTID	RESPONSE SENT	RESPONSE AUID
3287424	50000000	Beautiful views and convenient location ---SEP--- Our family of 4 had a lovely one-night stay.		80000000	Dear ClaireJourneys, Thank you for taking the time to review your stay at Balgownie Estate.	
3287424	50000001	We stayed in a 2BR unit which had stunning views of the valley.		80000001	It is great to see that you were able to enjoy a family getaway with us at the Estate.	
3287424	50000002	It was quite spacious and comfortable.		80000002	We are working towards renovating all our rooms at the Estate to keep them fresh and appealing for all guests during their stay.	
3287424	50000003	I will add that the décor seemed a bit worn.		80000003	I have also passed your kind words on to our Rae's Restaurant after you enjoyed your meal with us.	
3287424	50000004	We had a very pleasant check-in and were impressed by the woman at reception who was managing two surly guests with grace while we waited.		80000004	We hope to welcome you and your family back for another visit soon.	
3287424	50000005	The complaints we heard were ridiculous and she was so composed.		80000005	Kind Regards Charlotte	
3287424	50000006	She checked us in quickly and in a friendly manner.				
3287424	50000007	We enjoyed a the walking trail around the property and our teen girls liked the giant chess game on the lawn.				
3287424	50000008	We had dinner at Rae's, which was delicious and allowed for an incredible view as well.				
3287424	50000009	The estate is well located near wineries and the chocolatier and was a easy drive to our early balloon flight.				

3173251	50000010	Very good hotel ---SEP--- Stayed here for work for one night.		80000016	Hello KatMcP	
3173251	50000011	Staff were extremely friendly, greeting me as I got out of the lift (reception is on 1st floor) and asking lots of genuine questions about why I was there and how they could help.		80000017	Firstly, great to hear your room was super clean, ill let the housekeeping team and Klaudia know( they probably read this as they all do) Some of our rooms are a bit of a weird shape its true, this is due to the nature of the building and as such we have tried to make the most of natural light and the space itself.	
3173251	50000012	Room was possibly the cleanest I have ever stayed in, but didn't' appear to have a window until I found it hidden behind a wardrobe in the small alcove at the back right of the room.		80000018	We are a square building	
3173251	50000013	Even then it only overlooked a small light well about 12 foot wide but which was so tall I couldn't actually see sky/the weather at the top!		80000019	"so yes, some rooms look onto others, these internal rooms are the favourites of the ""in the know"" guests who like a deep sleep as they are silent."	
3173251	50000014	Weirder still you look straight into other rooms which made me close the curtains to my room despite it only being mid afternoon, so there was essentially no window in the room.		80000020	You can always draw the net curtain for privacy while still allowing for natural light.	
3173251	50000015	This is my only criticism, and a fairly minor one at that.		80000021	Sounds like everything else was peachy though.	
3173251	50000016	Decor is quirky but functional and the free breakfast is plentiful and tasty.		80000022	God times.	
3173251	50000017	Location is excellent, just a few minutes from both main train stations and a few steps from the shopping and most main areas.		80000023	My best Rory	
3173251	50000018	I had a good nights sleep and really appreciated the USB socket next to the.bed for phone chargers!				

3190331	50000020	Fabulous****** ---SEP---		80000034	Hi Jo Great to hear your stay	
3190331	50000021	What an excellent experience.		80000035	we us was a great experience, that lets us know we are going in wright direction.	
